;PID;area;price;MS.SubClass;MS.Zoning;Lot.Frontage;Lot.Area;Street;Alley;Lot.Shape;Land.Contour;Utilities;Lot.Config;Land.Slope;Neighborhood;Condition.1;Condition.2;Bldg.Type;House.Style;Overall.Qual;Overall.Cond;Year.Built;Year.Remod.Add;Roof.Style;Roof.Matl;Exterior.1st;Exterior.2nd;Mas.Vnr.Type;Mas.Vnr.Area;Exter.Qual;Exter.Cond;Foundation;Bsmt.Qual;Bsmt.Cond;Bsmt.Exposure;BsmtFin.Type.1;BsmtFin.SF.1;BsmtFin.Type.2;BsmtFin.SF.2;Bsmt.Unf.SF;Total.Bsmt.SF;Heating;Heating.QC;Central.Air;Electrical;X1st.Flr.SF;X2nd.Flr.SF;Low.Qual.Fin.SF;Bsmt.Full.Bath;Bsmt.Half.Bath;Full.Bath;Half.Bath;Bedroom.AbvGr;Kitchen.AbvGr;Kitchen.Qual;TotRms.AbvGrd;Functional;Fireplaces;Fireplace.Qu;Garage.Type;Garage.Yr.Blt;Garage.Finish;Garage.Cars;Garage.Area;Garage.Qual;Garage.Cond;Paved.Drive;Wood.Deck.SF;Open.Porch.SF;Enclosed.Porch;X3Ssn.Porch;Screen.Porch;Pool.Area;Pool.QC;Fence;Misc.Feature;Misc.Val;Mo.Sold;Yr.Sold;Sale.Type;Sale.Condition
1;40000;856;126000;30;RL;NA;7890;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;SWISU;Norm;Norm;1Fam;1Story;6;6;1939;1950;Gable;CompShg;Wd Sdng;Wd Sdng;None;0;TA;TA;CBlock;TA;TA;No;Rec;238;Unf;0;618;856;GasA;TA;Y;SBrkr;856;0;0;1;0;1;0;2;1;TA;4;Typ;1;Gd;Detchd;1939;Unf;2;399;TA;TA;Y;0;0;0;0;166;0;NA;NA;NA;0;3;2010;WD ;Normal
2;40001;1049;139500;120;RL;42;4235;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;Norm;Norm;TwnhsE;1Story;5;5;1984;1984;Gable;CompShg;HdBoard;HdBoard;BrkFace;149;Gd;TA;CBlock;Gd;TA;Mn;GLQ;552;ALQ;393;104;1049;GasA;TA;Y;SBrkr;1049;0;0;1;0;2;0;2;1;Gd;5;Typ;0;NA;Attchd;1984;Fin;1;266;TA;TA;Y;0;105;0;0;0;0;NA;NA;NA;0;2;2009;WD ;Normal
3;40002;1001;124900;30;C (all);60;6060;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;IDOTRR;Norm;Norm;1Fam;1Story;5;9;1930;2007;Hip;CompShg;MetalSd;MetalSd;None;0;Gd;TA;BrkTil;TA;TA;No;ALQ;737;Unf;0;100;837;GasA;Ex;Y;SBrkr;1001;0;0;0;0;1;0;2;1;Gd;5;Typ;0;NA;Detchd;1930;Unf;1;216;TA;Po;N;154;0;42;86;0;0;NA;NA;NA;0;11;2007;WD ;Normal
4;40003;1039;114000;70;RL;80;8146;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;OldTown;Norm;Norm;1Fam;2Story;4;8;1900;2003;Gable;CompShg;MetalSd;MetalSd;None;0;Gd;Gd;BrkTil;Fa;TA;No;Unf;0;Unf;0;405;405;GasA;Gd;Y;SBrkr;717;322;0;0;0;1;0;2;1;TA;6;Typ;0;NA;Detchd;1940;Unf;1;281;TA;TA;N;0;0;168;0;111;0;NA;NA;NA;0;5;2009;WD ;Normal
5;40004;1665;227000;60;RL;70;8400;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NWAmes;Norm;Norm;1Fam;2Story;8;6;2001;2001;Gable;CompShg;VinylSd;VinylSd;None;0;Gd;TA;PConc;Gd;TA;No;GLQ;643;Unf;0;167;810;GasA;Ex;Y;SBrkr;810;855;0;1;0;2;1;3;1;Gd;6;Typ;0;NA;Attchd;2001;Fin;2;528;TA;TA;Y;0;45;0;0;0;0;NA;NA;NA;0;11;2009;WD ;Normal
6;40005;1922;198500;85;RL;64;7301;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;Edwards;Norm;Norm;1Fam;SFoyer;7;5;2003;2003;Gable;CompShg;HdBoard;HdBoard;BrkFace;500;Gd;TA;Slab;NA;NA;NA;NA;0;NA;0;0;0;GasA;Ex;Y;SBrkr;495;1427;0;0;0;3;0;4;1;Gd;7;Typ;1;Ex;BuiltIn;2003;RFn;2;672;TA;TA;Y;0;0;177;0;0;0;NA;NA;NA;0;7;2009;ConLD;Normal
7;40006;936;93000;20;RM;60;6000;Pave;Pave;Reg;Bnk;AllPub;Inside;Mod;OldTown;Norm;Norm;2fmCon;1Story;4;4;1953;1953;Gable;CompShg;MetalSd;MetalSd;None;0;Fa;TA;CBlock;Fa;TA;No;Unf;0;Unf;0;936;936;GasA;TA;N;SBrkr;936;0;0;0;0;1;0;2;1;TA;4;Min2;0;NA;Detchd;1974;Unf;2;576;TA;TA;Y;0;32;112;0;0;0;NA;NA;NA;0;2;2009;WD ;Normal
8;40007;1246;187687;20;RL;53;3710;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Blmngtn;Norm;Norm;1Fam;1Story;7;5;2007;2008;Gable;CompShg;WdShing;Wd Shng;BrkFace;20;Gd;TA;PConc;Gd;TA;Gd;Unf;0;Unf;0;1146;1146;GasA;Ex;Y;SBrkr;1246;0;0;0;0;2;0;2;1;Gd;5;Typ;1;Gd;Attchd;2007;Fin;2;428;TA;TA;Y;100;24;0;0;0;0;NA;NA;NA;0;3;2008;New;Partial
9;40008;889;137500;20;RL;74;12395;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;Mitchel;Norm;Norm;1Fam;1Story;5;6;1984;1984;Gable;CompShg;HdBoard;Plywood;None;0;TA;TA;CBlock;TA;TA;No;ALQ;647;Unf;0;217;864;GasA;TA;Y;SBrkr;889;0;0;0;0;1;0;3;1;TA;6;Typ;0;NA;Attchd;1984;Unf;2;484;TA;TA;Y;0;0;0;0;0;0;NA;NA;NA;0;4;2008;WD ;Normal
10;40009;1072;140000;180;RM;35;3675;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;Norm;Norm;TwnhsE;SFoyer;6;5;2005;2005;Gable;CompShg;VinylSd;VinylSd;Stone;76;TA;TA;PConc;Gd;TA;Gd;GLQ;467;Unf;0;80;547;GasA;Ex;Y;SBrkr;1072;0;0;1;0;1;0;2;1;Gd;5;Typ;0;NA;Basment;2005;Fin;2;525;TA;TA;Y;0;44;0;0;0;0;NA;NA;NA;0;5;2007;WD ;Normal
